name,qid,measure,value,split
DLM,14,AP(rel=3)@10,0.014625850340136052,train
DLM,15,recip_rank,1.0,test
DLM,15,nDCG@10,0.8803836565459511,test
DLM,15,AP(rel=3)@10,0.14954648526077097,test
DLM,16,recip_rank,1.0,train
DLM,16,nDCG@10,0.6382326362783672,train
DLM,16,AP(rel=3)@10,0.14654761904761904,train
DLM,17,recip_rank,1.0,train
DLM,17,nDCG@10,0.7817850882421727,train
DLM,17,AP(rel=3)@10,0.1488888888888889,train
DLM,18,recip_rank,1.0,train
DLM,18,nDCG@10,0.5875485786297635,train
DLM,18,AP(rel=3)@10,0.16432291666666668,train
DLM,19,recip_rank,1.0,validation
DLM,19,nDCG@10,0.5146293799852292,validation
DLM,19,AP(rel=3)@10,0.17270531400966185,validation
DLM,2,recip_rank,1.0,train
DLM,2,nDCG@10,0.8168734061566219,train
DLM,2,AP(rel=3)@10,0.18427713427713424,train
DLM,20,recip_rank,1.0,train
DLM,20,nDCG@10,0.5759477523368165,train
DLM,20,AP(rel=3)@10,0.18482142857142858,train
DLM,21,recip_rank,1.0,validation
DLM,21,nDCG@10,0.7255364349021421,validation
DLM,21,AP(rel=3)@10,0.1935483870967742,validation
DLM,22,recip_rank,1.0,train
DLM,22,nDCG@10,0.7470243436376033,train
DLM,22,AP(rel=3)@10,0.16518912529550828,train
DLM,23,recip_rank,1.0,validation
DLM,23,nDCG@10,0.6058793746476133,validation
DLM,23,AP(rel=3)@10,0.11486568986568986,validation
DLM,24,recip_rank,0.3333333333333333,train
DLM,24,nDCG@10,0.15289323645711125,train
DLM,24,AP(rel=3)@10,0.0,train
DLM,25,recip_rank,1.0,train
DLM,25,nDCG@10,0.862409815444356,train
DLM,25,AP(rel=3)@10,0.23809523809523808,train
DLM,26,recip_rank,1.0,train
DLM,26,nDCG@10,0.2119954653562718,train
DLM,26,AP(rel=3)@10,0.0,train
DLM,27,recip_rank,0.5,train
DLM,27,nDCG@10,0.30722027661089846,train
DLM,27,AP(rel=3)@10,0.07692307692307693,train
DLM,28,recip_rank,1.0,train
DLM,28,nDCG@10,0.3775037414650755,train
DLM,28,AP(rel=3)@10,0.07368421052631578,train
DLM,29,recip_rank,1.0,test
DLM,29,nDCG@10,0.4030314082883762,test
